年代,アニメ作品ID,アニメ作品の合計話数
2010,C14628,18
2010,C14629,3
2010,C14630,28
2010,C14631,10
2010,C14632,40
2010,C14633,12
2010,C14634,26
2010,C14635,20
2010,C14636,74
2010,C14637,81
2010,C14638,20
2010,C14640,13
2010,C14641,3
2010,C14643,23
2010,C14645,7
2010,C14646,48
2010,C14647,4
2010,C14648,27
2010,C14649,4
2010,C14651,51
2010,C14652,23
2010,C14653,24
2010,C14654,13
2010,C14655,1
2010,C14656,70
2010,C14657,2
2010,C14658,3
2010,C14659,26
2010,C14660,37
2010,C14661,25
2010,C14662,27
2010,C14663,12
2010,C14664,12
2010,C14665,13
2010,C14666,26
2010,C14667,21
2010,C14668,37
2010,C14669,76
2010,C14670,12
2010,C14671,13
2010,C14673,110
2010,C14675,40
2010,C14676,3
2010,C14677,5
2010,C14678,33
2010,C14679,12
2010,C14681,8
2010,C14683,18
2010,C14684,26
2010,C14685,25
2010,C14687,45
2010,C14688,26
2010,C14689,68
2010,C14691,26
2010,C14692,26
2010,C14693,16
2010,C14695,115
2010,C14696,8
2010,C14697,5
2010,C14698,12
2010,C14699,26
2010,C14701,101
2010,C14702,10
2010,C14703,38
2010,C14704,91
2010,C14705,13
2010,C14706,40
2010,C14707,40
2010,C14708,307
2010,C14709,13
2010,C14710,370
2010,C14711,13
2010,C14712,25
2010,C14713,13
2010,C14714,13
2010,C14716,39
2010,C14717,13
2010,C14718,85
2010,C14719,25
2010,C14720,60
2010,C14721,12
2010,C14722,12
2010,C14723,13
2010,C14724,12
2010,C14725,50
2010,C14726,12
2010,C14727,140
2010,C14728,52
2010,C14729,52
2010,C14730,26
2010,C14731,28
2010,C14732,34
2010,C14733,10
2010,C14734,48
2010,C14735,32
2010,C14736,13
2010,C14737,25
2010,C14738,36
2010,C14739,10
2010,C14740,49
2010,C14741,12
2010,C14742,12
2010,C14743,25
2010,C14744,12
2010,C14745,12
2010,C14746,12
2010,C14747,3
2010,C14748,14
2010,C14749,13
2010,C14750,13
2010,C14751,13
2010,C14752,12
2010,C14753,11
2010,C14755,89
2010,C14756,49
2010,C14757,35
2010,C14758,12
2010,C14759,37
2010,C14760,13
2010,C14761,13
2010,C14762,51
2010,C14763,13
2010,C14764,53
2010,C14765,12
2010,C14767,6
2010,C14768,13
2010,C14769,51
2010,C14770,90
2010,C14772,13
2010,C14773,29
2010,C14774,45
2010,C14775,52
2010,C14776,431
2010,C14777,13
2010,C14778,84
2010,C14779,22
2010,C14780,26
2010,C14781,14
2010,C14782,51
2010,C14783,252
2010,C14784,47
2010,C14785,12
2010,C14786,6
2010,C14787,26
2010,C14788,12
2010,C14789,38
2010,C14790,11
2010,C14791,76
2010,C14792,13
2010,C14793,12
2010,C14794,13
2010,C14795,8
2010,C14796,13
2010,C14797,13
2010,C14799,12
2010,C14800,12
2010,C14801,12
2010,C14802,13
2010,C14803,32
2010,C14804,12
2010,C14806,13
2010,C14808,43
2010,C14809,12
2010,C14810,12
2010,C14811,14
2010,C14812,26
2010,C14813,13
2010,C14814,4
2010,C14815,14
2010,C14816,10
2010,C14817,59
2010,C14818,13
2010,C14819,36
2010,C14820,11
2010,C14821,25
2010,C14822,103
2010,C14824,26
2010,C14825,12
2010,C14826,12
2010,C14827,13
2010,C14828,32
2010,C14829,24
2010,C14830,25
2010,C14831,12
2010,C14832,13
2010,C14833,39
2010,C14834,11
2010,C14835,12
2010,C14836,26
2010,C14837,13
2010,C14839,14
2010,C14840,24
2010,C14842,2
2010,C14843,13
2010,C14844,10
2010,C14845,14
2010,C14846,50
2010,C14847,22
2010,C14848,9
2010,C14849,10
2010,C14850,52
2010,C14851,13
2010,C14852,14
2010,C14853,20
2010,C14854,13
2010,C14855,25
2010,C14856,6
2010,C14857,6
2010,C14858,10
2010,C14859,8
2010,C14860,12
2010,C14861,14
2010,C14862,13
2010,C14863,13
2010,C14864,13
2010,C14865,5
2010,C14866,63
2010,C14867,13
2010,C14868,32
2010,C14869,29
2010,C14870,13
2010,C14871,51
2010,C14872,13
2010,C14873,48
2010,C14875,13
2010,C14877,39
2010,C14878,12
2010,C14879,25
2010,C14881,13
2010,C14882,13
2010,C14884,21
2010,C14885,40
2010,C14887,13
2010,C14888,38
2010,C14889,16
2010,C14890,2
2010,C14891,13
2010,C14892,25
2010,C14893,12
2010,C14894,13
2010,C14895,13
2010,C14896,12
2010,C14897,10
2010,C14898,12
2010,C14899,51
2010,C14900,12
2010,C14901,12
2010,C14902,12
2010,C14903,12
2010,C14904,14
2010,C14905,56
2010,C14906,4
2010,C14907,13
2010,C14908,12
2010,C14909,25
2010,C14910,10
2010,C14911,159
2010,C14912,13
2010,C14913,13
2010,C14914,12
2010,C14915,37
2010,C14916,26
2010,C14917,12
2010,C14918,12
2010,C14919,26
2010,C14920,10
2010,C14921,13
2010,C14922,12
2010,C14923,13
2010,C14924,12
2010,C14925,13
2010,C14927,38
2010,C14928,13
2010,C14929,62
2010,C14931,13
2010,C14932,13
2010,C14933,20
2010,C14934,1
2010,C14937,12
2010,C14938,28
2010,C14939,13
2010,C14941,12
2010,C14942,1
2010,C14943,36
2010,C14944,13
2010,C14945,33
2010,C14946,12
2010,C14947,12
2010,C14948,13
2010,C14949,12
2010,C14950,12
2010,C14951,14
2010,C14952,11
2010,C14953,12
2010,C14954,13
2010,C14955,12
2010,C14956,11
2010,C14957,13
2010,C14958,12
2010,C14965,23
2010,C14966,12
2010,C14967,26
2010,C14968,26
2010,C14969,12
2010,C14970,25
2010,C14971,12
2010,C14972,12
2010,C14973,39
2010,C14974,10
2010,C14975,12
2010,C14976,4
2010,C14977,51
2010,C14978,10
2010,C14979,24
2010,C14980,39
2010,C14981,12
2010,C14982,10
2010,C14983,12
2010,C14984,12
2010,C14985,12
2010,C14986,12
2010,C14987,13
2010,C14988,13
2010,C14989,12
2010,C14990,13
2010,C14991,12
2010,C14992,12
2010,C14993,12
2010,C14994,12
2010,C14995,24
2010,C14996,10
2010,C14997,12
2010,C14998,12
2010,C14999,12
2010,C15000,12
2010,C15001,70
2010,C15002,38
2010,C15003,12
2010,C15004,15
2010,C15005,36
2010,C15006,26
2010,C15007,25
2010,C15008,27
2010,C15009,13
2010,C15010,24
2010,C15011,12
2010,C15012,12
2010,C15013,24
2010,C15014,14
2010,C15015,12
2010,C15016,25
2010,C15017,12
2010,C15018,12
2010,C15019,13
2010,C15020,12
2010,C15021,10
2010,C15022,12
2010,C15023,37
2010,C15024,39
2010,C15025,13
2010,C15026,13
2010,C15027,8
2010,C15028,13
2010,C15029,38
2010,C15030,20
2010,C15031,22
2010,C15032,12
2010,C15033,12
2010,C15034,24
2010,C15035,13
2010,C15036,12
2010,C15037,25
2010,C15038,13
2010,C15039,12
2010,C15040,46
2010,C15041,12
2010,C15042,12
2010,C15043,38
2010,C15044,13
2010,C15045,11
2010,C15046,15
2010,C15047,52
2010,C15048,13
2010,C15049,26
2010,C15050,26
2010,C15051,10
2010,C15052,12
2010,C15053,39
2010,C15054,12
2010,C15055,12
2010,C15056,12
2010,C15057,27
2010,C15058,14
2010,C15059,39
2010,C15060,6
2010,C15061,12
2010,C15062,12
2010,C15063,12
2010,C15064,13
2010,C15065,13
2010,C15066,12
2010,C15067,25
2010,C15068,11
2010,C15069,12
2010,C15070,12
2010,C15071,13
2010,C15072,13
2010,C15073,10
2010,C15074,13
2010,C15075,12
2010,C15076,79
2010,C15077,12
2010,C15078,27
2010,C15079,11
2010,C15080,12
2010,C15081,70
2010,C15082,25
2010,C15083,13
2010,C15084,12
2010,C15085,12
2010,C15086,38
2010,C15087,70
2010,C15088,11
2010,C15089,13
2010,C15090,12
2010,C15234,8
2010,C15235,11
2010,C15239,15
2010,C15240,15
2010,C15247,2
2010,C15248,12
2010,C15270,5
2010,C15271,12
2010,C15272,14
2010,C15273,13
2010,C15274,60
2010,C15275,12
2010,C15280,182
2010,C15281,34
2010,C15282,1
2010,C15283,16
2010,C15284,14
2010,C15285,2
2010,C15286,16
2010,C15287,72
2010,C15288,36
2010,C15355,38
2010,C15357,4
2010,C15360,3
2010,C15361,9
2010,C15362,12
2010,C15363,10
2010,C15364,13
2010,C15365,14
2010,C15366,13
2010,C15367,13
2010,C15368,13
2010,C15370,12
2010,C15371,12
2010,C15373,10
2010,C15374,13
2010,C15375,11
2010,C15376,13
2010,C15377,12
2010,C15378,10
2010,C15379,13
2010,C15380,12
2010,C15381,12
2010,C15382,31
2010,C15383,12
2010,C15384,12
2010,C15385,12
2010,C15386,12
2010,C15387,10
2010,C15388,13
2010,C15389,12
2010,C15390,12
2010,C15391,12
2010,C15392,12
2010,C15393,10
2010,C15394,14
2010,C15395,11
2010,C15396,12
2010,C15397,12
2010,C15398,12
2010,C15399,13
2010,C15400,4
2010,C15401,13
2010,C15402,13
2010,C15403,13
2010,C15404,2
2010,C15405,12
2010,C15406,13
2010,C15407,4
2010,C15408,11
2010,C15495,1
2010,C15514,1
2010,C15515,16
2010,C15516,186
2010,C15517,12
2010,C15518,69
2010,C15519,6
2010,C15520,54
2010,C15521,72
2010,C15522,5
2010,C15523,62
2010,C15535,2
2010,C15536,9
2010,C15537,32
2010,C15538,5
2010,C15539,34
2010,C15540,21
2010,C15541,32
2010,C15542,3
2010,C15543,36
2010,C15544,53
2010,C15545,24
2010,C15546,99
2010,C15547,30
2010,C15549,1
2010,C15550,22
2010,C15552,13
2010,C15553,1
2010,C15554,12
2010,C15555,25
2010,C15556,13
2010,C15565,13
2010,C15568,10
2010,C15569,13
2010,C15570,2
2010,C15571,10
2010,C15572,14
2010,C15573,2
2010,C15574,3
2010,C15575,8
2010,C15577,3
2010,C15578,12
2010,C15579,13
2010,C15581,10
2010,C15583,17
2010,C15585,6
2010,C15586,9
2010,C15588,10
2010,C15589,1
2010,C15591,3
2010,C15592,3
2010,C15593,10
2010,C15595,2
2010,C15597,4
2010,C15699,6
2010,C15771,10
2010,C15778,1
2010,C7207,362
2010,C8504,290
2010,C8849,205
2010,C9080,359
2010,C9122,295
2010,C9189,6
2010,C9197,4
2010,C9283,226
2010,C9798,1
2010,C9855,248
2015,C10992,98
2015,C12639,171
2015,C12921,10
2015,C13271,1
2015,C13573,10
2015,C13634,1
2015,C14541,1
2015,C14584,7
2015,C14629,1
2015,C14649,1
2015,C14695,64
2015,C14708,254
2015,C14727,103
2015,C14755,62
2015,C14778,46
2015,C14783,312
2015,C14866,12
2015,C14889,34
2015,C14905,43
2015,C14958,3
2015,C14973,63
2015,C14977,24
2015,C14980,12
2015,C15002,13
2015,C15008,5
2015,C15023,12
2015,C15024,12
2015,C15028,37
2015,C15029,13
2015,C15040,3
2015,C15043,13
2015,C15047,13
2015,C15049,101
2015,C15053,13
2015,C15059,13
2015,C15076,11
2015,C15078,5
2015,C15081,5
2015,C15086,99
2015,C15087,304
2015,C15232,13
2015,C15233,13
2015,C15236,24
2015,C15237,12
2015,C15238,12
2015,C15241,12
2015,C15242,14
2015,C15243,13
2015,C15244,13
2015,C15245,14
2015,C15249,25
2015,C15250,24
2015,C15270,5
2015,C15271,12
2015,C15272,12
2015,C15273,62
2015,C15276,13
2015,C15277,13
2015,C15278,12
2015,C15279,13
2015,C15355,23
2015,C15362,66
2015,C15363,38
2015,C15365,12
2015,C15366,12
2015,C15371,12
2015,C15377,13
2015,C15380,13
2015,C15389,12
2015,C15390,12
2015,C15394,13
2015,C15395,11
2015,C15396,13
2015,C15398,12
2015,C15410,13
2015,C15411,13
2015,C15412,12
2015,C15413,13
2015,C15414,12
2015,C15415,12
2015,C15416,12
2015,C15417,13
2015,C15418,12
2015,C15419,13
2015,C15420,10
2015,C15421,25
2015,C15422,24
2015,C15423,13
2015,C15424,12
2015,C15425,12
2015,C15426,13
2015,C15427,12
2015,C15428,13
2015,C15429,12
2015,C15430,12
2015,C15431,12
2015,C15432,10
2015,C15433,16
2015,C15434,13
2015,C15435,13
2015,C15436,70
2015,C15437,12
2015,C15438,12
2015,C15439,24
2015,C15440,12
2015,C15441,13
2015,C15442,13
2015,C15443,13
2015,C15444,12
2015,C15445,13
2015,C15446,12
2015,C15447,13
2015,C15448,13
2015,C15449,10
2015,C15450,12
2015,C15451,12
2015,C15452,12
2015,C15453,15
2015,C15454,12
2015,C15455,12
2015,C15456,24
2015,C15457,12
2015,C15458,12
2015,C15459,22
2015,C15460,63
2015,C15461,13
2015,C15462,12
2015,C15463,13
2015,C15464,12
2015,C15465,26
2015,C15466,13
2015,C15467,26
2015,C15468,12
2015,C15469,13
2015,C15470,26
2015,C15471,25
2015,C15472,12
2015,C15473,13
2015,C15474,32
2015,C15475,13
2015,C15476,13
2015,C15477,26
2015,C15478,54
2015,C15479,12
2015,C15480,16
2015,C15481,13
2015,C15482,12
2015,C15483,12
2015,C15484,14
2015,C15485,26
2015,C15486,70
2015,C15487,12
2015,C15488,23
2015,C15489,25
2015,C15490,13
2015,C15491,13
2015,C15492,1
2015,C15493,13
2015,C15494,63
2015,C15495,13
2015,C15496,12
2015,C15497,51
2015,C15498,12
2015,C15499,24
2015,C15500,72
2015,C15501,15
2015,C15502,13
2015,C15503,13
2015,C15504,51
2015,C15505,12
2015,C15506,50
2015,C15507,26
2015,C15508,12
2015,C15509,13
2015,C15510,13
2015,C15511,12
2015,C15512,13
2015,C15513,13
2015,C15514,1
2015,C15515,19
2015,C15516,246
2015,C15520,38
2015,C15524,46
2015,C15525,2
2015,C15527,12
2015,C15529,13
2015,C15530,26
2015,C15531,24
2015,C15532,24
2015,C15533,26
2015,C15534,72
2015,C15540,7
2015,C15544,4
2015,C15546,59
2015,C15557,24
2015,C15558,24
2015,C15559,24
2015,C15560,1
2015,C15561,20
2015,C15562,26
2015,C15563,12
2015,C15564,23
2015,C15598,14
2015,C15599,13
2015,C15600,10
2015,C15601,5
2015,C15602,18
2015,C15603,5
2015,C15604,58
2015,C15605,13
2015,C15606,2
2015,C15607,3
2015,C15608,12
2015,C15610,12
2015,C15611,6
2015,C15612,12
2015,C15613,13
2015,C15614,12
2015,C15615,12
2015,C15616,5
2015,C15619,15
2015,C15620,15
2015,C15621,58
2015,C15623,1
2015,C15624,13
2015,C15625,12
2015,C15626,12
2015,C15627,12
2015,C15628,10
2015,C15630,16
2015,C15631,12
2015,C15633,5
2015,C15634,13
2015,C15635,12
2015,C15636,13
2015,C15637,13
2015,C15638,11
2015,C15641,1
2015,C15656,2
2015,C15657,26
2015,C15658,20
2015,C15659,24
2015,C15660,24
2015,C15661,26
2015,C15662,26
2015,C15663,24
2015,C15664,26
2015,C15665,26
2015,C15666,24
2015,C15667,24
2015,C15668,26
2015,C15669,26
2015,C15670,24
2015,C15671,4
2015,C15672,27
2015,C15673,24
2015,C15674,22
2015,C15675,26
2015,C15676,26
2015,C15677,24
2015,C15678,1
2015,C15682,12
2015,C15684,3
2015,C15686,13
2015,C15687,12
2015,C15688,13
2015,C15689,12
2015,C15690,12
2015,C15691,25
2015,C15692,13
2015,C15693,96
2015,C15694,26
2015,C15695,24
2015,C15696,40
2015,C15697,13
2015,C15698,13
2015,C15699,4
2015,C15700,12
2015,C15701,12
2015,C15702,12
2015,C15703,13
2015,C15704,13
2015,C15705,14
2015,C15706,13
2015,C15707,12
2015,C15708,12
2015,C15709,12
2015,C15710,13
2015,C15711,13
2015,C15713,6
2015,C15714,10
2015,C15715,8
2015,C15716,12
2015,C15717,12
2015,C15718,12
2015,C15720,12
2015,C15721,13
2015,C15722,80
2015,C15723,13
2015,C15724,13
2015,C15725,2
2015,C15726,24
2015,C15727,2
2015,C15728,13
2015,C15729,13
2015,C15730,8
2015,C15735,37
2015,C15736,12
2015,C15737,12
2015,C15738,38
2015,C15739,33
2015,C15740,39
2015,C15741,25
2015,C15742,12
2015,C15743,12
2015,C15744,12
2015,C15745,12
2015,C15746,12
2015,C15747,12
2015,C15748,12
2015,C15749,27
2015,C15750,13
2015,C15751,12
2015,C15752,12
2015,C15753,10
2015,C15755,2
2015,C15758,2
2015,C15759,38
2015,C15760,38
2015,C15761,34
2015,C15762,115
2015,C15763,32
2015,C15764,38
2015,C15765,26
2015,C15766,48
2015,C15767,98
2015,C15768,24
2015,C15769,12
2015,C15770,13
2015,C15771,3
2015,C15774,6
2015,C15775,1
2015,C15776,96
2015,C15777,96
2015,C15778,3
2015,C15779,4
2015,C15780,8
2015,C15781,38
2015,C15782,1
2015,C15783,9
2015,C15784,2
2015,C15786,1
2015,C15788,10
2015,C15789,13
2015,C15790,12
2015,C15791,12
2015,C15792,13
2015,C15793,10
2015,C15794,8
2015,C15795,13
2015,C15796,26
2015,C15797,24
2015,C15798,24
2015,C15799,5
2015,C15800,5
2015,C15801,12
2015,C15802,12
2015,C15803,12
2015,C15804,23
2015,C15805,13
2015,C15806,13
2015,C15807,25
2015,C15808,12
2015,C15809,12
2015,C15810,37
2015,C15811,12
2015,C15812,13
2015,C15813,13
2015,C15831,1
2015,C15832,2
2015,C15833,13
2015,C15834,13
2015,C15835,26
2015,C15836,8
2015,C15837,13
2015,C15838,13
2015,C15839,13
2015,C15840,12
2015,C15841,12
2015,C15842,13
2015,C15843,12
2015,C15844,13
2015,C15845,13
2015,C15846,3
2015,C15847,4
2015,C15848,14
2015,C15849,12
2015,C15850,11
2015,C15851,14
2015,C15852,12
2015,C15853,12
2015,C15854,12
2015,C15855,12
2015,C15856,12
2015,C15857,4
2015,C15858,4
2015,C15859,4
2015,C15860,13
2015,C15861,13
2015,C15862,10
2015,C15863,26
2015,C15864,22
2015,C15865,11
2015,C15866,14
2015,C15867,13
2015,C15868,13
2015,C15869,12
2015,C15870,12
2015,C15871,39
2015,C15872,45
2015,C15873,26
2015,C15874,39
2015,C15875,13
2015,C15876,65
2015,C15878,1
2015,C15879,28
2015,C15880,13
2015,C15881,12
2015,C15882,27
2015,C15883,13
2015,C15884,12
2015,C15885,12
2015,C15886,12
2015,C15887,12
2015,C15888,26
2015,C15889,27
2015,C15890,12
2015,C15891,24
2015,C15892,13
2015,C15893,14
2015,C15894,2
2015,C15896,27
2015,C15897,15
2015,C15898,12
2015,C15899,12
2015,C15900,12
2015,C15901,13
2015,C15902,13
2015,C15903,12
2015,C15904,27
2015,C15905,12
2015,C15906,14
2015,C15907,19
2015,C15908,25
2015,C15909,12
2015,C15910,26
2015,C15911,14
2015,C15912,12
2015,C15913,12
2015,C15914,4
2015,C15915,6
2015,C15916,12
2015,C15917,12
2015,C15937,13
2015,C15938,10
2015,C15939,12
2015,C15940,12
2015,C15941,12
2015,C15945,10
2015,C15951,12
2015,C15952,14
2015,C15953,12
2015,C15954,13
2015,C15955,13
2015,C15956,13
2015,C15957,14
2015,C15958,12
2015,C15959,13
2015,C15960,13
2015,C15961,13
2015,C15962,13
2015,C15963,12
2015,C15964,4
2015,C15965,12
2015,C15966,12
2015,C15967,12
2015,C15968,12
2015,C15969,13
2015,C15970,14
2015,C15971,12
2015,C15972,12
2015,C15973,12
2015,C15974,12
2015,C15975,13
2015,C15976,12
2015,C15977,12
2015,C15978,13
2015,C15979,24
2015,C15980,12
2015,C15981,13
2015,C15982,12
2015,C15983,12
2015,C15984,13
2015,C15985,13
2015,C15986,13
2015,C15987,12
2015,C15988,12
2015,C15989,13
2015,C15990,12
2015,C15991,13
2015,C15992,12
2015,C15993,28
2015,C15994,13
2015,C15995,70
2015,C15996,44
2015,C15997,52
2015,C15998,65
2015,C15999,190
2015,C16000,12
2015,C16001,3
2015,C16002,66
2015,C16003,38
2015,C16004,31
2015,C16005,37
2015,C16006,13
2015,C16007,13
2015,C16008,12
2015,C16009,12
2015,C16010,11
2015,C16011,12
2015,C16012,12
2015,C16013,9
2015,C16014,5
2015,C16015,11
2015,C16016,11
2015,C16017,1
2015,C16018,10
2015,C16019,2
2015,C16020,9
2015,C16021,4
2015,C16022,4
2015,C16023,2
2015,C16024,80
2015,C16025,40
2015,C16026,13
2015,C16027,38
2015,C16028,23
2015,C16029,5
2015,C16030,13
2015,C16031,13
2015,C16032,12
2015,C16033,86
2015,C16034,4
2015,C16037,24
2015,C16038,24
2015,C16039,39
2015,C16040,38
2015,C16041,38
2015,C16042,37
2015,C16043,34
2015,C16044,39
2015,C16045,8
2015,C16046,52
2015,C16047,4
2015,C16048,24
2015,C16049,35
2015,C16050,1
2015,C16051,4
2015,C16052,30
2015,C16054,11
2015,C16055,3
2015,C16056,14
2015,C16057,26
2015,C16058,12
2015,C16059,12
2015,C16060,18
2015,C16061,12
2015,C16062,13
2015,C16063,12
2015,C16064,13
2015,C16065,24
2015,C16066,12
2015,C16067,27
2015,C16068,10
2015,C16070,15
2015,C16071,14
2015,C16072,10
2015,C16073,12
2015,C16074,13
2015,C16075,12
2015,C16076,12
2015,C16077,12
2015,C16078,10
2015,C16079,13
2015,C16080,25
2015,C16081,25
2015,C16082,13
2015,C16083,12
2015,C16084,12
2015,C16085,12
2015,C16086,13
2015,C16087,12
2015,C16088,13
2015,C16089,12
2015,C16090,13
2015,C16091,12
2015,C16092,12
2015,C16093,12
2015,C16094,14
2015,C16095,12
2015,C16096,12
2015,C16097,12
2015,C16098,12
2015,C16099,12
2015,C16100,13
2015,C16101,12
2015,C16102,12
2015,C16103,13
2015,C16104,10
2015,C16105,13
2015,C16106,24
2015,C16107,12
2015,C16108,26
2015,C16109,24
2015,C16110,12
2015,C16111,12
2015,C16112,44
2015,C16113,12
2015,C16114,13
2015,C16115,12
2015,C16116,13
2015,C16117,13
2015,C16118,12
2015,C16119,13
2015,C16120,13
2015,C16121,13
2015,C16122,12
2015,C16123,14
2015,C16124,12
2015,C16125,13
2015,C16126,12
2015,C16127,12
2015,C16128,12
2015,C16129,13
2015,C16130,13
2015,C16131,12
2015,C16132,26
2015,C16133,12
2015,C16134,71
2015,C16135,12
2015,C16136,13
2015,C16137,12
2015,C16138,12
2015,C16139,25
2015,C16140,13
2015,C16141,12
2015,C16142,12
2015,C16143,12
2015,C16144,13
2015,C16145,13
2015,C16146,13
2015,C16147,20
2015,C16148,25
2015,C16149,15
2015,C16150,12
2015,C16151,11
2015,C16152,12
2015,C16153,28
2015,C16154,12
2015,C16155,12
2015,C16156,12
2015,C16157,12
2015,C16158,13
2015,C16159,12
2015,C16160,12
2015,C16161,24
2015,C16162,12
2015,C16163,11
2015,C16164,23
2015,C16165,24
2015,C16166,29
2015,C16167,12
2015,C16168,13
2015,C16169,33
2015,C16170,34
2015,C16171,12
2015,C16172,12
2015,C16173,12
2015,C16174,12
2015,C16175,15
2015,C16176,10
2015,C16177,32
2015,C16178,13
2015,C16179,16
2015,C16180,12
2015,C16181,59
2015,C16182,42
2015,C16183,26
2015,C16184,26
2015,C16185,12
2015,C16186,27
2015,C16187,12
2015,C16188,24
2015,C16190,25
2015,C16191,13
2015,C16192,13
2015,C16193,13
2015,C16194,25
2015,C16195,82
2015,C16196,10
2015,C16197,2
2015,C16198,12
2015,C16199,24
2015,C16200,13
2015,C16201,12
2015,C16202,25
2015,C16203,10
2015,C16204,21
2015,C16205,14
2015,C16206,12
2015,C16207,12
2015,C16208,16
2015,C16209,13
2015,C16210,10
2015,C16211,12
2015,C16212,14
2015,C16213,12
2015,C16214,12
2015,C16215,12
2015,C16216,13
2015,C16217,11
2015,C16218,2
2015,C16219,10
2015,C16220,13
2015,C16221,11
2015,C16222,77
2015,C16223,13
2015,C16224,34
2015,C16225,13
2015,C16226,1
2015,C16227,8
2015,C16228,60
2015,C16229,1
2015,C16230,7
2015,C16231,6
2015,C16233,1
2015,C16236,1
2015,C7207,305
2015,C8504,184
2015,C8849,173
2015,C9122,193
2015,C9189,1
2015,C9197,1
2015,C9283,99
2015,C9855,94
