year,quarter,声優名,アニメ作品数,クール
1997,1,沢城みゆき,0,1997-01-01
1997,2,沢城みゆき,0,1997-04-01
1997,3,沢城みゆき,0,1997-07-01
1997,4,沢城みゆき,0,1997-10-01
1998,1,沢城みゆき,0,1998-01-01
1998,2,沢城みゆき,0,1998-04-01
1998,3,沢城みゆき,0,1998-07-01
1998,4,沢城みゆき,0,1998-10-01
1999,1,沢城みゆき,0,1999-01-01
1999,2,沢城みゆき,0,1999-04-01
1999,3,沢城みゆき,0,1999-07-01
1999,4,沢城みゆき,1,1999-10-01
2000,1,沢城みゆき,0,2000-01-01
2000,2,沢城みゆき,0,2000-04-01
2000,3,沢城みゆき,0,2000-07-01
2000,4,沢城みゆき,0,2000-10-01
2001,1,沢城みゆき,0,2001-01-01
2001,2,沢城みゆき,1,2001-04-01
2001,3,沢城みゆき,1,2001-07-01
2001,4,沢城みゆき,2,2001-10-01
2002,1,沢城みゆき,3,2002-01-01
2002,2,沢城みゆき,3,2002-04-01
2002,3,沢城みゆき,3,2002-07-01
2002,4,沢城みゆき,1,2002-10-01
2003,1,沢城みゆき,0,2003-01-01
2003,2,沢城みゆき,1,2003-04-01
2003,3,沢城みゆき,1,2003-07-01
2003,4,沢城みゆき,1,2003-10-01
2004,1,沢城みゆき,1,2004-01-01
2004,2,沢城みゆき,1,2004-04-01
2004,3,沢城みゆき,3,2004-07-01
2004,4,沢城みゆき,2,2004-10-01
2005,1,沢城みゆき,2,2005-01-01
2005,2,沢城みゆき,3,2005-04-01
2005,3,沢城みゆき,3,2005-07-01
2005,4,沢城みゆき,2,2005-10-01
2006,1,沢城みゆき,3,2006-01-01
2006,2,沢城みゆき,3,2006-04-01
2006,3,沢城みゆき,4,2006-07-01
2006,4,沢城みゆき,4,2006-10-01
2007,1,沢城みゆき,4,2007-01-01
2007,2,沢城みゆき,3,2007-04-01
2007,3,沢城みゆき,4,2007-07-01
2007,4,沢城みゆき,9,2007-10-01
2008,1,沢城みゆき,7,2008-01-01
2008,2,沢城みゆき,7,2008-04-01
2008,3,沢城みゆき,7,2008-07-01
2008,4,沢城みゆき,6,2008-10-01
2009,1,沢城みゆき,6,2009-01-01
2009,2,沢城みゆき,5,2009-04-01
2009,3,沢城みゆき,12,2009-07-01
2009,4,沢城みゆき,6,2009-10-01
2010,1,沢城みゆき,7,2010-01-01
2010,2,沢城みゆき,5,2010-04-01
2010,3,沢城みゆき,4,2010-07-01
2010,4,沢城みゆき,5,2010-10-01
2011,1,沢城みゆき,5,2011-01-01
2011,2,沢城みゆき,7,2011-04-01
2011,3,沢城みゆき,9,2011-07-01
2011,4,沢城みゆき,6,2011-10-01
2012,1,沢城みゆき,9,2012-01-01
2012,2,沢城みゆき,7,2012-04-01
2012,3,沢城みゆき,9,2012-07-01
2012,4,沢城みゆき,9,2012-10-01
2013,1,沢城みゆき,6,2013-01-01
2013,2,沢城みゆき,6,2013-04-01
2013,3,沢城みゆき,9,2013-07-01
2013,4,沢城みゆき,5,2013-10-01
2014,1,沢城みゆき,5,2014-01-01
2014,2,沢城みゆき,4,2014-04-01
2014,3,沢城みゆき,4,2014-07-01
2014,4,沢城みゆき,7,2014-10-01
2015,1,沢城みゆき,5,2015-01-01
2015,2,沢城みゆき,7,2015-04-01
2015,3,沢城みゆき,8,2015-07-01
2015,4,沢城みゆき,5,2015-10-01
2016,1,沢城みゆき,0,2016-01-01
2016,2,沢城みゆき,3,2016-04-01
2016,3,沢城みゆき,2,2016-07-01
2016,4,沢城みゆき,5,2016-10-01
2017,1,沢城みゆき,1,2017-01-01
2017,2,沢城みゆき,5,2017-04-01
2017,3,沢城みゆき,7,2017-07-01
2017,4,沢城みゆき,1,2017-10-01
1997,1,櫻井孝宏,1,1997-01-01
1997,2,櫻井孝宏,1,1997-04-01
1997,3,櫻井孝宏,1,1997-07-01
1997,4,櫻井孝宏,1,1997-10-01
1998,1,櫻井孝宏,0,1998-01-01
1998,2,櫻井孝宏,0,1998-04-01
1998,3,櫻井孝宏,0,1998-07-01
1998,4,櫻井孝宏,0,1998-10-01
1999,1,櫻井孝宏,1,1999-01-01
1999,2,櫻井孝宏,2,1999-04-01
1999,3,櫻井孝宏,3,1999-07-01
1999,4,櫻井孝宏,3,1999-10-01
2000,1,櫻井孝宏,3,2000-01-01
2000,2,櫻井孝宏,2,2000-04-01
2000,3,櫻井孝宏,2,2000-07-01
2000,4,櫻井孝宏,2,2000-10-01
2001,1,櫻井孝宏,2,2001-01-01
2001,2,櫻井孝宏,4,2001-04-01
2001,3,櫻井孝宏,0,2001-07-01
2001,4,櫻井孝宏,3,2001-10-01
2002,1,櫻井孝宏,2,2002-01-01
2002,2,櫻井孝宏,2,2002-04-01
2002,3,櫻井孝宏,4,2002-07-01
2002,4,櫻井孝宏,5,2002-10-01
2003,1,櫻井孝宏,4,2003-01-01
2003,2,櫻井孝宏,6,2003-04-01
2003,3,櫻井孝宏,3,2003-07-01
2003,4,櫻井孝宏,8,2003-10-01
2004,1,櫻井孝宏,4,2004-01-01
2004,2,櫻井孝宏,3,2004-04-01
2004,3,櫻井孝宏,3,2004-07-01
2004,4,櫻井孝宏,8,2004-10-01
2005,1,櫻井孝宏,8,2005-01-01
2005,2,櫻井孝宏,5,2005-04-01
2005,3,櫻井孝宏,5,2005-07-01
2005,4,櫻井孝宏,7,2005-10-01
2006,1,櫻井孝宏,6,2006-01-01
2006,2,櫻井孝宏,3,2006-04-01
2006,3,櫻井孝宏,6,2006-07-01
2006,4,櫻井孝宏,6,2006-10-01
2007,1,櫻井孝宏,3,2007-01-01
2007,2,櫻井孝宏,2,2007-04-01
2007,3,櫻井孝宏,5,2007-07-01
2007,4,櫻井孝宏,3,2007-10-01
2008,1,櫻井孝宏,5,2008-01-01
2008,2,櫻井孝宏,6,2008-04-01
2008,3,櫻井孝宏,5,2008-07-01
2008,4,櫻井孝宏,2,2008-10-01
2009,1,櫻井孝宏,4,2009-01-01
2009,2,櫻井孝宏,4,2009-04-01
2009,3,櫻井孝宏,5,2009-07-01
2009,4,櫻井孝宏,3,2009-10-01
2010,1,櫻井孝宏,3,2010-01-01
2010,2,櫻井孝宏,4,2010-04-01
2010,3,櫻井孝宏,7,2010-07-01
2010,4,櫻井孝宏,6,2010-10-01
2011,1,櫻井孝宏,2,2011-01-01
2011,2,櫻井孝宏,5,2011-04-01
2011,3,櫻井孝宏,6,2011-07-01
2011,4,櫻井孝宏,6,2011-10-01
2012,1,櫻井孝宏,8,2012-01-01
2012,2,櫻井孝宏,7,2012-04-01
2012,3,櫻井孝宏,7,2012-07-01
2012,4,櫻井孝宏,9,2012-10-01
2013,1,櫻井孝宏,8,2013-01-01
2013,2,櫻井孝宏,4,2013-04-01
2013,3,櫻井孝宏,10,2013-07-01
2013,4,櫻井孝宏,8,2013-10-01
2014,1,櫻井孝宏,5,2014-01-01
2014,2,櫻井孝宏,2,2014-04-01
2014,3,櫻井孝宏,3,2014-07-01
2014,4,櫻井孝宏,7,2014-10-01
2015,1,櫻井孝宏,7,2015-01-01
2015,2,櫻井孝宏,7,2015-04-01
2015,3,櫻井孝宏,7,2015-07-01
2015,4,櫻井孝宏,5,2015-10-01
2016,1,櫻井孝宏,4,2016-01-01
2016,2,櫻井孝宏,5,2016-04-01
2016,3,櫻井孝宏,10,2016-07-01
2016,4,櫻井孝宏,7,2016-10-01
2017,1,櫻井孝宏,0,2017-01-01
2017,2,櫻井孝宏,5,2017-04-01
2017,3,櫻井孝宏,10,2017-07-01
2017,4,櫻井孝宏,0,2017-10-01
1997,1,子安武人,0,1997-01-01
1997,2,子安武人,0,1997-04-01
1997,3,子安武人,0,1997-07-01
1997,4,子安武人,0,1997-10-01
1998,1,子安武人,0,1998-01-01
1998,2,子安武人,0,1998-04-01
1998,3,子安武人,0,1998-07-01
1998,4,子安武人,0,1998-10-01
1999,1,子安武人,1,1999-01-01
1999,2,子安武人,1,1999-04-01
1999,3,子安武人,1,1999-07-01
1999,4,子安武人,5,1999-10-01
2000,1,子安武人,6,2000-01-01
2000,2,子安武人,3,2000-04-01
2000,3,子安武人,3,2000-07-01
2000,4,子安武人,4,2000-10-01
2001,1,子安武人,4,2001-01-01
2001,2,子安武人,5,2001-04-01
2001,3,子安武人,4,2001-07-01
2001,4,子安武人,3,2001-10-01
2002,1,子安武人,2,2002-01-01
2002,2,子安武人,3,2002-04-01
2002,3,子安武人,6,2002-07-01
2002,4,子安武人,7,2002-10-01
2003,1,子安武人,7,2003-01-01
2003,2,子安武人,7,2003-04-01
2003,3,子安武人,10,2003-07-01
2003,4,子安武人,11,2003-10-01
2004,1,子安武人,11,2004-01-01
2004,2,子安武人,9,2004-04-01
2004,3,子安武人,8,2004-07-01
2004,4,子安武人,11,2004-10-01
2005,1,子安武人,12,2005-01-01
2005,2,子安武人,14,2005-04-01
2005,3,子安武人,12,2005-07-01
2005,4,子安武人,11,2005-10-01
2006,1,子安武人,11,2006-01-01
2006,2,子安武人,12,2006-04-01
2006,3,子安武人,10,2006-07-01
2006,4,子安武人,8,2006-10-01
2007,1,子安武人,7,2007-01-01
2007,2,子安武人,8,2007-04-01
2007,3,子安武人,10,2007-07-01
2007,4,子安武人,7,2007-10-01
2008,1,子安武人,7,2008-01-01
2008,2,子安武人,6,2008-04-01
2008,3,子安武人,6,2008-07-01
2008,4,子安武人,5,2008-10-01
2009,1,子安武人,4,2009-01-01
2009,2,子安武人,6,2009-04-01
2009,3,子安武人,5,2009-07-01
2009,4,子安武人,3,2009-10-01
2010,1,子安武人,2,2010-01-01
2010,2,子安武人,4,2010-04-01
2010,3,子安武人,6,2010-07-01
2010,4,子安武人,4,2010-10-01
2011,1,子安武人,3,2011-01-01
2011,2,子安武人,4,2011-04-01
2011,3,子安武人,2,2011-07-01
2011,4,子安武人,5,2011-10-01
2012,1,子安武人,5,2012-01-01
2012,2,子安武人,3,2012-04-01
2012,3,子安武人,5,2012-07-01
2012,4,子安武人,6,2012-10-01
2013,1,子安武人,4,2013-01-01
2013,2,子安武人,4,2013-04-01
2013,3,子安武人,0,2013-07-01
2013,4,子安武人,2,2013-10-01
2014,1,子安武人,2,2014-01-01
2014,2,子安武人,3,2014-04-01
2014,3,子安武人,2,2014-07-01
2014,4,子安武人,1,2014-10-01
2015,1,子安武人,4,2015-01-01
2015,2,子安武人,6,2015-04-01
2015,3,子安武人,5,2015-07-01
2015,4,子安武人,5,2015-10-01
2016,1,子安武人,3,2016-01-01
2016,2,子安武人,3,2016-04-01
2016,3,子安武人,4,2016-07-01
2016,4,子安武人,4,2016-10-01
2017,1,子安武人,0,2017-01-01
2017,2,子安武人,3,2017-04-01
2017,3,子安武人,3,2017-07-01
2017,4,子安武人,0,2017-10-01
1997,1,能登麻美子,0,1997-01-01
1997,2,能登麻美子,0,1997-04-01
1997,3,能登麻美子,0,1997-07-01
1997,4,能登麻美子,0,1997-10-01
1998,1,能登麻美子,0,1998-01-01
1998,2,能登麻美子,0,1998-04-01
1998,3,能登麻美子,0,1998-07-01
1998,4,能登麻美子,0,1998-10-01
1999,1,能登麻美子,0,1999-01-01
1999,2,能登麻美子,0,1999-04-01
1999,3,能登麻美子,0,1999-07-01
1999,4,能登麻美子,0,1999-10-01
2000,1,能登麻美子,1,2000-01-01
2000,2,能登麻美子,0,2000-04-01
2000,3,能登麻美子,0,2000-07-01
2000,4,能登麻美子,1,2000-10-01
2001,1,能登麻美子,1,2001-01-01
2001,2,能登麻美子,2,2001-04-01
2001,3,能登麻美子,1,2001-07-01
2001,4,能登麻美子,2,2001-10-01
2002,1,能登麻美子,4,2002-01-01
2002,2,能登麻美子,4,2002-04-01
2002,3,能登麻美子,3,2002-07-01
2002,4,能登麻美子,2,2002-10-01
2003,1,能登麻美子,2,2003-01-01
2003,2,能登麻美子,4,2003-04-01
2003,3,能登麻美子,5,2003-07-01
2003,4,能登麻美子,4,2003-10-01
2004,1,能登麻美子,7,2004-01-01
2004,2,能登麻美子,9,2004-04-01
2004,3,能登麻美子,7,2004-07-01
2004,4,能登麻美子,6,2004-10-01
2005,1,能登麻美子,7,2005-01-01
2005,2,能登麻美子,9,2005-04-01
2005,3,能登麻美子,6,2005-07-01
2005,4,能登麻美子,7,2005-10-01
2006,1,能登麻美子,5,2006-01-01
2006,2,能登麻美子,7,2006-04-01
2006,3,能登麻美子,4,2006-07-01
2006,4,能登麻美子,4,2006-10-01
2007,1,能登麻美子,5,2007-01-01
2007,2,能登麻美子,10,2007-04-01
2007,3,能登麻美子,7,2007-07-01
2007,4,能登麻美子,6,2007-10-01
2008,1,能登麻美子,7,2008-01-01
2008,2,能登麻美子,7,2008-04-01
2008,3,能登麻美子,10,2008-07-01
2008,4,能登麻美子,7,2008-10-01
2009,1,能登麻美子,8,2009-01-01
2009,2,能登麻美子,7,2009-04-01
2009,3,能登麻美子,8,2009-07-01
2009,4,能登麻美子,11,2009-10-01
2010,1,能登麻美子,5,2010-01-01
2010,2,能登麻美子,4,2010-04-01
2010,3,能登麻美子,6,2010-07-01
2010,4,能登麻美子,4,2010-10-01
2011,1,能登麻美子,3,2011-01-01
2011,2,能登麻美子,4,2011-04-01
2011,3,能登麻美子,8,2011-07-01
2011,4,能登麻美子,4,2011-10-01
2012,1,能登麻美子,5,2012-01-01
2012,2,能登麻美子,4,2012-04-01
2012,3,能登麻美子,8,2012-07-01
2012,4,能登麻美子,4,2012-10-01
2013,1,能登麻美子,2,2013-01-01
2013,2,能登麻美子,2,2013-04-01
2013,3,能登麻美子,6,2013-07-01
2013,4,能登麻美子,4,2013-10-01
2014,1,能登麻美子,2,2014-01-01
2014,2,能登麻美子,0,2014-04-01
2014,3,能登麻美子,1,2014-07-01
2014,4,能登麻美子,2,2014-10-01
2015,1,能登麻美子,3,2015-01-01
2015,2,能登麻美子,4,2015-04-01
2015,3,能登麻美子,5,2015-07-01
2015,4,能登麻美子,2,2015-10-01
2016,1,能登麻美子,1,2016-01-01
2016,2,能登麻美子,2,2016-04-01
2016,3,能登麻美子,3,2016-07-01
2016,4,能登麻美子,4,2016-10-01
2017,1,能登麻美子,0,2017-01-01
2017,2,能登麻美子,3,2017-04-01
2017,3,能登麻美子,4,2017-07-01
2017,4,能登麻美子,0,2017-10-01
1997,1,釘宮理恵,0,1997-01-01
1997,2,釘宮理恵,0,1997-04-01
1997,3,釘宮理恵,0,1997-07-01
1997,4,釘宮理恵,0,1997-10-01
1998,1,釘宮理恵,0,1998-01-01
1998,2,釘宮理恵,0,1998-04-01
1998,3,釘宮理恵,0,1998-07-01
1998,4,釘宮理恵,0,1998-10-01
1999,1,釘宮理恵,0,1999-01-01
1999,2,釘宮理恵,0,1999-04-01
1999,3,釘宮理恵,0,1999-07-01
1999,4,釘宮理恵,0,1999-10-01
2000,1,釘宮理恵,0,2000-01-01
2000,2,釘宮理恵,0,2000-04-01
2000,3,釘宮理恵,1,2000-07-01
2000,4,釘宮理恵,1,2000-10-01
2001,1,釘宮理恵,1,2001-01-01
2001,2,釘宮理恵,5,2001-04-01
2001,3,釘宮理恵,5,2001-07-01
2001,4,釘宮理恵,4,2001-10-01
2002,1,釘宮理恵,3,2002-01-01
2002,2,釘宮理恵,4,2002-04-01
2002,3,釘宮理恵,3,2002-07-01
2002,4,釘宮理恵,4,2002-10-01
2003,1,釘宮理恵,1,2003-01-01
2003,2,釘宮理恵,2,2003-04-01
2003,3,釘宮理恵,3,2003-07-01
2003,4,釘宮理恵,4,2003-10-01
2004,1,釘宮理恵,6,2004-01-01
2004,2,釘宮理恵,3,2004-04-01
2004,3,釘宮理恵,3,2004-07-01
2004,4,釘宮理恵,6,2004-10-01
2005,1,釘宮理恵,4,2005-01-01
2005,2,釘宮理恵,6,2005-04-01
2005,3,釘宮理恵,4,2005-07-01
2005,4,釘宮理恵,5,2005-10-01
2006,1,釘宮理恵,5,2006-01-01
2006,2,釘宮理恵,5,2006-04-01
2006,3,釘宮理恵,8,2006-07-01
2006,4,釘宮理恵,7,2006-10-01
2007,1,釘宮理恵,9,2007-01-01
2007,2,釘宮理恵,6,2007-04-01
2007,3,釘宮理恵,8,2007-07-01
2007,4,釘宮理恵,10,2007-10-01
2008,1,釘宮理恵,10,2008-01-01
2008,2,釘宮理恵,6,2008-04-01
2008,3,釘宮理恵,9,2008-07-01
2008,4,釘宮理恵,9,2008-10-01
2009,1,釘宮理恵,6,2009-01-01
2009,2,釘宮理恵,7,2009-04-01
2009,3,釘宮理恵,9,2009-07-01
2009,4,釘宮理恵,9,2009-10-01
2010,1,釘宮理恵,7,2010-01-01
2010,2,釘宮理恵,4,2010-04-01
2010,3,釘宮理恵,4,2010-07-01
2010,4,釘宮理恵,4,2010-10-01
2011,1,釘宮理恵,5,2011-01-01
2011,2,釘宮理恵,8,2011-04-01
2011,3,釘宮理恵,7,2011-07-01
2011,4,釘宮理恵,5,2011-10-01
2012,1,釘宮理恵,7,2012-01-01
2012,2,釘宮理恵,7,2012-04-01
2012,3,釘宮理恵,7,2012-07-01
2012,4,釘宮理恵,7,2012-10-01
2013,1,釘宮理恵,8,2013-01-01
2013,2,釘宮理恵,10,2013-04-01
2013,3,釘宮理恵,10,2013-07-01
2013,4,釘宮理恵,6,2013-10-01
2014,1,釘宮理恵,6,2014-01-01
2014,2,釘宮理恵,3,2014-04-01
2014,3,釘宮理恵,2,2014-07-01
2014,4,釘宮理恵,5,2014-10-01
2015,1,釘宮理恵,3,2015-01-01
2015,2,釘宮理恵,7,2015-04-01
2015,3,釘宮理恵,4,2015-07-01
2015,4,釘宮理恵,6,2015-10-01
2016,1,釘宮理恵,4,2016-01-01
2016,2,釘宮理恵,0,2016-04-01
2016,3,釘宮理恵,1,2016-07-01
2016,4,釘宮理恵,3,2016-10-01
2017,1,釘宮理恵,2,2017-01-01
2017,2,釘宮理恵,5,2017-04-01
2017,3,釘宮理恵,5,2017-07-01
2017,4,釘宮理恵,0,2017-10-01
